 cookie=0x0, duration=9.640s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=3a:4a:4f:54:fb:4f,dl_dst=da:af:5c:3f:09:cf,arp_spa=10.0.0.6,arp_tpa=10.0.0.10,arp_op=2 actions=output:3
 cookie=0x0, duration=9.634s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=46:10:16:4b:0a:82,dl_dst=8e:a2:f7:07:6a:51,arp_spa=10.0.0.5,arp_tpa=10.0.0.2,arp_op=2 actions=output:1
 cookie=0x0, duration=9.631s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=de:bc:a4:f6:ca:ba,dl_dst=fe:31:f1:2c:b4:17,arp_spa=10.0.0.8,arp_tpa=10.0.0.3,arp_op=2 actions=output:1
 cookie=0x0, duration=9.627s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=32:0c:be:b4:87:19,dl_dst=32:80:ac:e2:f9:b7,arp_spa=10.0.0.1,arp_tpa=10.0.0.15,arp_op=2 actions=output:4
 cookie=0x0, duration=9.620s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=e6:a2:a8:c3:98:28,dl_dst=da:af:5c:3f:09:cf,arp_spa=10.0.0.16,arp_tpa=10.0.0.10,arp_op=2 actions=output:3
 cookie=0x0, duration=9.172s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=fe:31:f1:2c:b4:17,dl_dst=ee:60:aa:be:39:dd,arp_spa=10.0.0.3,arp_tpa=10.0.0.9,arp_op=2 actions=output:3
 cookie=0x0, duration=8.625s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=32:80:ac:e2:f9:b7,dl_dst=ee:60:aa:be:39:dd,arp_spa=10.0.0.15,arp_tpa=10.0.0.9,arp_op=2 actions=output:3
 cookie=0x0, duration=8.614s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=e6:a2:a8:c3:98:28,dl_dst=fe:31:f1:2c:b4:17,arp_spa=10.0.0.16,arp_tpa=10.0.0.3,arp_op=2 actions=output:1
 cookie=0x0, duration=7.967s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=32:0c:be:b4:87:19,dl_dst=ee:60:aa:be:39:dd,arp_spa=10.0.0.1,arp_tpa=10.0.0.9,arp_op=2 actions=output:3
 cookie=0x0, duration=7.961s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=de:bc:a4:f6:ca:ba,dl_dst=ee:60:aa:be:39:dd,arp_spa=10.0.0.8,arp_tpa=10.0.0.9,arp_op=2 actions=output:3
 cookie=0x0, duration=7.944s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=aa:3a:7f:c6:26:3c,dl_dst=8e:a2:f7:07:6a:51,arp_spa=10.0.0.12,arp_tpa=10.0.0.2,arp_op=2 actions=output:1
 cookie=0x0, duration=7.629s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=fa:8c:30:22:97:34,dl_dst=fe:31:f1:2c:b4:17,arp_spa=10.0.0.13,arp_tpa=10.0.0.3,arp_op=2 actions=output:1
 cookie=0x0, duration=7.128s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=32:80:ac:e2:f9:b7,dl_dst=92:e1:6a:49:80:b9,arp_spa=10.0.0.15,arp_tpa=10.0.0.11,arp_op=2 actions=output:3
 cookie=0x0, duration=7.120s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=2e:60:72:f6:9e:17,dl_dst=ee:60:aa:be:39:dd,arp_spa=10.0.0.14,arp_tpa=10.0.0.9,arp_op=2 actions=output:3
 cookie=0x0, duration=6.614s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=3a:4a:4f:54:fb:4f,dl_dst=fe:31:f1:2c:b4:17,arp_spa=10.0.0.6,arp_tpa=10.0.0.3,arp_op=2 actions=output:1
 cookie=0x0, duration=6.611s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=ae:89:26:17:29:a8,dl_dst=ee:60:aa:be:39:dd,arp_spa=10.0.0.4,arp_tpa=10.0.0.9,arp_op=2 actions=output:3
 cookie=0x0, duration=6.163s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=fe:31:f1:2c:b4:17,dl_dst=92:e1:6a:49:80:b9,arp_spa=10.0.0.3,arp_tpa=10.0.0.11,arp_op=2 actions=output:3
 cookie=0x0, duration=6.157s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=fa:8c:30:22:97:34,dl_dst=92:e1:6a:49:80:b9,arp_spa=10.0.0.13,arp_tpa=10.0.0.11,arp_op=2 actions=output:3
 cookie=0x0, duration=5.634s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=de:bc:a4:f6:ca:ba,dl_dst=ae:89:26:17:29:a8,arp_spa=10.0.0.8,arp_tpa=10.0.0.4,arp_op=2 actions=output:1
 cookie=0x0, duration=5.593s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=8e:a2:f7:07:6a:51,dl_dst=ee:60:aa:be:39:dd,arp_spa=10.0.0.2,arp_tpa=10.0.0.9,arp_op=2 actions=output:3
 cookie=0x0, duration=4.593s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=46:10:16:4b:0a:82,dl_dst=92:e1:6a:49:80:b9,arp_spa=10.0.0.5,arp_tpa=10.0.0.11,arp_op=2 actions=output:3
 cookie=0x0, duration=3.996s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=2e:60:72:f6:9e:17,dl_dst=ae:89:26:17:29:a8,arp_spa=10.0.0.14,arp_tpa=10.0.0.4,arp_op=2 actions=output:1
 cookie=0x0, duration=3.604s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=3a:4a:4f:54:fb:4f,dl_dst=92:e1:6a:49:80:b9,arp_spa=10.0.0.6,arp_tpa=10.0.0.11,arp_op=2 actions=output:3
 cookie=0x0, duration=3.603s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=fa:8c:30:22:97:34,dl_dst=ee:60:aa:be:39:dd,arp_spa=10.0.0.13,arp_tpa=10.0.0.9,arp_op=2 actions=output:3
 cookie=0x0, duration=3.088s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=3a:4a:4f:54:fb:4f,dl_dst=ae:89:26:17:29:a8,arp_spa=10.0.0.6,arp_tpa=10.0.0.4,arp_op=2 actions=output:1
 cookie=0x0, duration=2.544s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=46:10:16:4b:0a:82,dl_dst=ae:89:26:17:29:a8,arp_spa=10.0.0.5,arp_tpa=10.0.0.4,arp_op=2 actions=output:1
 cookie=0x0, duration=2.042s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=fa:8c:30:22:97:34,dl_dst=ae:89:26:17:29:a8,arp_spa=10.0.0.13,arp_tpa=10.0.0.4,arp_op=2 actions=output:1
 cookie=0x0, duration=1.545s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=da:af:5c:3f:09:cf,dl_dst=ae:89:26:17:29:a8,arp_spa=10.0.0.10,arp_tpa=10.0.0.4,arp_op=2 actions=output:1
 cookie=0x0, duration=1.539s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=2e:60:72:f6:9e:17,dl_dst=92:e1:6a:49:80:b9,arp_spa=10.0.0.14,arp_tpa=10.0.0.11,arp_op=2 actions=output:3
 cookie=0x0, duration=1.040s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=2,vlan_tci=0x0000/0x1fff,dl_src=46:10:16:4b:0a:82,dl_dst=ee:60:aa:be:39:dd,arp_spa=10.0.0.5,arp_tpa=10.0.0.9,arp_op=2 actions=output:3
 cookie=0x0, duration=1.040s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=32:0c:be:b4:87:19,dl_dst=3a:4a:4f:54:fb:4f,arp_spa=10.0.0.1,arp_tpa=10.0.0.6,arp_op=2 actions=output:2
 cookie=0x0, duration=0.469s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=92:e1:6a:49:80:b9,dl_dst=8e:a2:f7:07:6a:51,arp_spa=10.0.0.11,arp_tpa=10.0.0.2,arp_op=2 actions=output:1
 cookie=0x0, duration=0.465s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=32:80:ac:e2:f9:b7,dl_dst=ae:89:26:17:29:a8,arp_spa=10.0.0.15,arp_tpa=10.0.0.4,arp_op=2 actions=output:1
 cookie=0x0, duration=0.008s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=32:0c:be:b4:87:19,dl_dst=92:e1:6a:49:80:b9,arp_spa=10.0.0.1,arp_tpa=10.0.0.11,arp_op=2 actions=output:3
